Ticker,Action,State,Price,Shares,Capital_Req
RENUKA.NS,SELL,SIDEWAYS_NEAR_P50,29.48,678,19987.44
SUZLON.NS,SELL,SIDEWAYS_NEAR_P50,54.85,364,19965.4
NTPC.NS,SELL,SIDEWAYS_NEAR_P50,398.65,50,19932.5
IEX.NS,SELL,SIDEWAYS_NEAR_P50,127.62,156,19908.72
ANGELONE.NS,SELL,SIDEWAYS_NEAR_P50,314.4,63,19807.2
HUDCO.NS,SELL,SIDEWAYS_NEAR_P50,219.98,90,19798.2
TMPV.NS,SELL,SIDEWAYS_NEAR_P50,340.15,58,19728.7
RELIANCE.NS,SELL,SIDEWAYS_NEAR_P50,1463.6,13,19026.8
ICICIBANK.NS,SELL,SIDEWAYS_NEAR_P50,1251.3,15,18769.5
