Price,Close,High,Low,Open,Volume
Ticker,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS
Datetime,,,,,
2026-01-23 03:45:00+00:00,1670.5999755859375,1674.4000244140625,1665.0999755859375,1667.199951171875,337039
2026-01-23 04:00:00+00:00,1670.0,1674.5,1668.5,1670.5999755859375,178552
2026-01-23 04:15:00+00:00,1670.9000244140625,1672.800048828125,1668.4000244140625,1670.0,118677
2026-01-23 04:30:00+00:00,1670.199951171875,1672.0999755859375,1668.5999755859375,1670.9000244140625,115018
2026-01-23 04:45:00+00:00,1666.800048828125,1670.699951171875,1665.5999755859375,1670.300048828125,132508
2026-01-23 05:00:00+00:00,1667.800048828125,1669.5,1666.5999755859375,1667.0,110689
2026-01-23 05:15:00+00:00,1667.699951171875,1668.9000244140625,1667.0999755859375,1667.800048828125,108308
2026-01-23 05:30:00+00:00,1667.0999755859375,1668.5,1665.5999755859375,1667.5999755859375,139881
2026-01-23 05:45:00+00:00,1668.800048828125,1668.800048828125,1665.4000244140625,1667.0,137811
2026-01-23 06:00:00+00:00,1667.5,1668.800048828125,1665.199951171875,1668.800048828125,109448
2026-01-23 06:15:00+00:00,1669.5999755859375,1669.5999755859375,1666.800048828125,1667.4000244140625,162687
2026-01-23 06:30:00+00:00,1670.0,1670.800048828125,1669.0,1669.800048828125,157617
2026-01-23 06:45:00+00:00,1670.9000244140625,1672.0,1670.0,1670.199951171875,136950
2026-01-23 07:00:00+00:00,1670.5999755859375,1671.699951171875,1669.0,1671.199951171875,153684
2026-01-23 07:15:00+00:00,1669.199951171875,1671.4000244140625,1669.0,1670.800048828125,203483
2026-01-23 07:30:00+00:00,1669.5,1669.800048828125,1666.800048828125,1669.0999755859375,352450
2026-01-23 07:45:00+00:00,1665.699951171875,1669.4000244140625,1665.5,1669.4000244140625,178478
2026-01-23 08:00:00+00:00,1665.300048828125,1666.300048828125,1664.0999755859375,1666.300048828125,145264
2026-01-23 08:15:00+00:00,1665.5999755859375,1666.800048828125,1665.0999755859375,1665.800048828125,163455
2026-01-23 08:30:00+00:00,1663.699951171875,1666.0,1662.9000244140625,1665.5,183699
2026-01-23 08:45:00+00:00,1665.5999755859375,1665.9000244140625,1662.300048828125,1663.199951171875,229640
2026-01-23 09:00:00+00:00,1669.4000244140625,1671.0,1665.5,1666.0999755859375,461143
2026-01-23 09:15:00+00:00,1669.699951171875,1671.300048828125,1667.800048828125,1670.300048828125,229165
2026-01-23 09:30:00+00:00,1670.0999755859375,1672.0999755859375,1668.300048828125,1670.300048828125,646668
2026-01-23 09:45:00+00:00,1670.800048828125,1674.0,1669.699951171875,1670.199951171875,577496
2026-01-27 03:45:00+00:00,1667.4000244140625,1681.800048828125,1663.0,1680.0,341717
2026-01-27 04:00:00+00:00,1676.5999755859375,1676.5999755859375,1661.5999755859375,1666.800048828125,485797
2026-01-27 04:15:00+00:00,1675.5999755859375,1677.699951171875,1675.0,1676.5999755859375,299536
2026-01-27 04:30:00+00:00,1679.9000244140625,1680.4000244140625,1675.5999755859375,1675.5999755859375,194200
2026-01-27 04:45:00+00:00,1681.0,1683.699951171875,1679.5999755859375,1679.9000244140625,254749
2026-01-27 05:00:00+00:00,1674.5999755859375,1681.699951171875,1674.0999755859375,1681.300048828125,389138
2026-01-27 05:15:00+00:00,1673.5999755859375,1676.5,1672.5,1675.0,304803
